Entity: 1.1, Type: CARDINAL
Entity: chapter 2, Type: LAW
Entity: chapter 3, Type: LAW
Entity: chapter 4, Type: LAW
Entity: chapter 5, Type: LAW
Entity: chapter 6, Type: LAW
Entity: 2011, Type: DATE
Entity: 2018, Type: DATE
Entity: 29119, Type: CARDINAL
Entity: 1.1.1, Type: CARDINAL
Entity: 15, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 1.1.2, Type: CARDINAL
Entity: chapter 4, Type: LAW
Entity: 2.2.3, Type: CARDINAL
Entity: chapter 3, Type: LAW
Entity: 1.2, Type: CARDINAL
Entity: 1.2.1, Type: CARDINAL
Entity: 16, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 1.3, Type: CARDINAL
Entity: the years, Type: DATE
Entity: seven, Type: CARDINAL
Entity: 1, Type: CARDINAL
Entity: 1970, Type: DATE
Entity: 2, Type: CARDINAL
Entity: manna 
1978, Type: PERSON
Entity: chapter 4, Type: LAW
Entity: 5.1.5, Type: CARDINAL
Entity: 5.2, Type: CARDINAL
Entity: 3, Type: CARDINAL
Entity: 1981, Type: DATE
Entity: chapter 3, Type: LAW
Entity: chapter 4, Type: LAW
Entity: 4, Type: CARDINAL
Entity: 1975, Type: DATE
Entity: 17, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 5.2, Type: CARDINAL
Entity: 5, Type: CARDINAL
Entity: 1990, Type: DATE
Entity: 2.2.3, Type: CARDINAL
Entity: 6, Type: CARDINAL
Entity: 2011, Type: DATE
Entity: 7, Type: CARDINAL
Entity: 1981, Type: DATE
Entity: 1.4, Type: CARDINAL
Entity: section 5.1, Type: LAW
Entity: 29119, Type: CARDINAL
Entity: 1.4.1, Type: CARDINAL
Entity: section 5.1, Type: LAW
Entity: section 5.3, Type: LAW
Entity: 5.2, Type: CARDINAL
Entity: chapter 4, Type: LAW
Entity: chapter 4, Type: LAW
Entity: 18, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 5.1.5, Type: CARDINAL
Entity: 5.5, Type: CARDINAL
Entity: 1.4.2, Type: CARDINAL
Entity: 1.4.3, Type: CARDINAL
Entity: section 1.4.1, Type: LAW
Entity: 19, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 5.4, Type: CARDINAL
Entity: section 5.1, Type: LAW
Entity: 5.2, Type: CARDINAL
Entity: 5.3, Type: CARDINAL
Entity: 5.2, Type: CARDINAL
Entity: section 4.5.2, Type: LAW
Entity: 5.5, Type: CARDINAL
Entity: 1.4.4, Type: CARDINAL
Entity: section 1.1.1, Type: LAW
Entity: 20, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 1.4.5, Type: CARDINAL
Entity: two, Type: CARDINAL
Entity: two, Type: CARDINAL
Entity: one, Type: CARDINAL
Entity: 1.5, Type: CARDINAL
Entity: 21, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 1.5.2, Type: DATE
Entity: one, Type: CARDINAL
Entity: 2.1, Type: CARDINAL
Entity: 1.5.3, Type: CARDINAL
Entity: salman 1995, Type: DATE
Entity: 22, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2, Type: CARDINAL
Entity: 130 minutes, Type: TIME
Entity: chapter 2, Type: LAW
Entity: 2.1, Type: CARDINAL
Entity: fl-2.1.1, Type: ORG
Entity: fl-2.1.2, Type: PRODUCT
Entity: fl-2.1.3, Type: ORG
Entity: fl-2.1.4, Type: NORP
Entity: 2.2, Type: CARDINAL
Entity: fl-2.2.2, Type: PERSON
Entity: 2.3, Type: CARDINAL
Entity: 23, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2.1, Type: CARDINAL
Entity: atdd, Type: PERSON
Entity: kanban, Type: ORG
Entity: 2.1.1, Type: CARDINAL
Entity: 4.4, Type: CARDINAL
Entity: chapter 2.2.1, Type: LAW
Entity: section 1.3, Type: LAW
Entity: 24, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2.1.5, Type: CARDINAL
Entity: 2.1.3, Type: CARDINAL
Entity: atdd, Type: PERSON
Entity: 1.3, Type: CARDINAL
Entity: 2.1.5, Type: CARDINAL
Entity: 2003, Type: DATE
Entity: first, Type: ORDINAL
Entity: 2011, Type: DATE
Entity: 2.1.4, Type: CARDINAL
Entity: kim, Type: PERSON
Entity: 25, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2.1.5, Type: CARDINAL
Entity: section 1.3, Type: LAW
Entity: 26, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2.2, Type: CARDINAL
Entity: sequential, Type: GPE
Entity: one, Type: CARDINAL
Entity: 2.2.1, Type: CARDINAL
Entity: five, Type: CARDINAL
Entity: 27, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: •, Type: PRODUCT
Entity: 2.2.2, Type: CARDINAL
Entity: four, Type: CARDINAL
Entity: the iso/iec, Type: ORG
Entity: 25010, Type: DATE
Entity: 28, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 4.2, Type: CARDINAL
Entity: 4.3, Type: CARDINAL
Entity: four, Type: CARDINAL
Entity: 2.2.3, Type: CARDINAL
Entity: first, Type: ORDINAL
Entity: ci, Type: PERSON
Entity: 2.1.4, Type: CARDINAL
Entity: 29, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 2.3, Type: CARDINAL
Entity: iso/iec, Type: ORG
Entity: 14764, Type: DATE
Entity: 30, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 3, Type: CARDINAL
Entity: 80 minutes, Type: TIME
Entity: keywords 
anomaly, Type: PERSON
Entity: chapter 3, Type: LAW
Entity: 3.1, Type: CARDINAL
Entity: fl-3.1.1, Type: ORG
Entity: 3.2, Type: CARDINAL
Entity: fl-3.2.2, Type: PERSON
Entity: fl-3.2.4, Type: PERSON
Entity: 31, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 3.1, Type: CARDINAL
Entity: chapter 6, Type: LAW
Entity: 2.1.4, Type: CARDINAL
Entity: 3.1.1, Type: CARDINAL
Entity: 3rd, Type: ORDINAL
Entity: 3.1.2, Type: CARDINAL
Entity: section 1.3, Type: LAW
Entity: 32, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 3.1.3, Type: CARDINAL
Entity: section 1.1.1, Type: LAW
Entity: 3.2, Type: CARDINAL
Entity: 3.2.1, Type: CARDINAL
Entity: 33, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 20246, Type: DATE
Entity: one, Type: CARDINAL
Entity: 20246, Type: DATE
Entity: 3.2.3, Type: CARDINAL
Entity: 34, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 20246, Type: DATE
Entity: 3.2.4, Type: CARDINAL
Entity: first, Type: ORDINAL
Entity: 3.2.5, Type: CARDINAL
Entity: 35, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: •, Type: CARDINAL
Entity: 36, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 4, Type: CARDINAL
Entity: 390 minutes, Type: TIME
Entity: chapter 4, Type: LAW
Entity: 4.1, Type: CARDINAL
Entity: 4.2, Type: CARDINAL
Entity: fl-4.2.2, Type: PERSON
Entity: 4.3, Type: CARDINAL
Entity: fl-4.3.3, Type: NORP
Entity: 4.4, Type: CARDINAL
Entity: fl-4.4.1, Type: ORG
Entity: fl-4.4.3, Type: PERSON
Entity: 4.5, Type: CARDINAL
Entity: fl-4.5.1, Type: PERSON
Entity: fl-4.5.2, Type: PERSON
Entity: fl-4.5.3, Type: GPE
Entity: 37, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 4.1, Type: CARDINAL
Entity: 29119-4, Type: DATE
Entity: 1990, Type: DATE
Entity: craig 2002, Type: PERSON
Entity: 2004, Type: DATE
Entity: 2006, Type: DATE
Entity: 2014, Type: DATE
Entity: 2016, Type: DATE
Entity: 2019, Type: DATE
Entity: 4.2, Type: CARDINAL
Entity: •, Type: PRODUCT
Entity: •, Type: CARDINAL
Entity: one, Type: CARDINAL
Entity: one, Type: CARDINAL
Entity: 38, Type: CARDINAL
Entity: 74, Type: CARDINAL
Entity: 2023-04-21, Type: DATE
Entity: 100%, Type: PERCENT
Entity: at least one, Type: CARDINAL
Entity: more than one, Type: CARDINAL
Entity: 4.2.2, Type: CARDINAL
Entity: two, Type: CARDINAL
Entity: two, Type: CARDINAL
